CaseID,Title,Location,Country,Number of Victim Fatalities,Number of Victims Injured,Total Number of Victims,Description,Date,
163,Bourbon Street New Orleans,"New Orleans, Louisiana",US,1,9,10,"On June 29, 2014, two men were having an argument on Bourbon Street, which escalated into a gunfight. Many shots were fired into the surrounding crowd, killing one and injuring nine.",6/29/14,
164,Albuquerque Auto Shop,"Albuquerque, New Mexico",US,1,3,4,"The shooter pulled up to an auto shop and saw his ex-girlfriend talking with her current boyfriend. He crashed his car into the car the couple was standing next to. This knocked the current boyfriend to the ground. The shooter then fired fatal shots at his ex-girlfriend, and shot and injured three other women who had entered the shop.",8/8/14,
165,Marysville-Pilchuck High School,"Marysville, Washington",US,4,1,5,"On October 24, 2014, a freshman at Marysville-Pilchuck High School approached a table of his friends in the school cafeteria and a verbal fight ensued. The student then pulled out a handgun and fired at the students at the table. He injured five students, killed 1 girl, and then committed suicide by shooting himself in the head. Three of the four injured students died in the hospital in the following days. ",10/24/14,
166,Florida State University,"Tallahassee, Florida",US,0,3,3,"On November 19 just after midnight,  a graduate of Florida State University went to a library on campus which was full of people. He opened fire, injuring three people. Police arrived and told the shooter to drop the weapon, but he refused. Police then fired at the shooter, killing him.",11/19/14,
185,Morgantown,"Morgantown, West Virginia",US,4,0,4,"On December 1, 2014, a man entered the home of his ex-girlfriend and shot and killed her and her new boyfriend. He then proceeded to the home of a business rival, whom he killed, and the home of another man with whom his ex-girlfriend had been involved, whom he also killed. The shooter then drove to another county and shot himself.",12/1/14,
169,"Pennsburg, Souderton, Lansdale, Harleysville","Pennsburg, Souderton, Lansdale, Harleysville, Pennsylvania",US,6,1,7,"Early in the morning on December 15, 2014, a man entered the Souderton home of his ex-wife's sister and killed her, her husband, and her two children. He then went to a Lansdale residence and shot his ex-wife's mother and grandmother. He proceeded to his ex-wife's home in Lower Salford where he fatally shot her and took their two daughters to another location. Nearly two days later the was found dead from a drug overdose.",12/15/14,
170,Memphis,"Memphis, Tennessee",US,0,5,5,"On Jan. 1, 2015, 25 people were on a party bus that was shot at by people in two vehicles that followed the bus. At least one of these men had been in a verbal argument with one of the bus' passengers at a club where the party bus had stopped just before the shooting.",1/1/15,
173,Moscow,"Moscow, Idaho",US,3,1,4,"On Friday, January 10, 2015, a man shot his adoptive mother in her house, walked to his landlord's nearby office and shot and killed him and injured another person in the office. He then drove to an Arby's that his parents frequented, asked to see the manager, and shot and killed her. ",1/10/15,
177,Queens,"New York City, New York",US,3,1,4,"Early in the morning of January 24, 2015, a man shot his two daughters, wife, and mother-in-law, killing all but one of his daughters. The shooter  then went to his car and shot himself.",1/24/15,
180,Omaha,"Omaha, Nebraska",US,3,5,8,"On the morning of January 24, 2015, two shooters opened fire at a party outside a home in Omaha. Three were killed and five others were injured. One of the suspected shooters was arrested, but the other has not been identified. Possibly gang-related.",1/24/15,
178,LaGrange,"LaGrange, Georgia",US,5,0,5,"On January 28, 2015, in a Georgia home, a man shot three family members and one friend, and strangled his daughter in law. All five died. He left town with the family's dog, and police arrested him several days later.",1/28/15,
187,McAvan's Pub,"Syracuse, New York",US,0,6,6,"Shortly after midnight on February 1, 2015, a man forced his ex-girlfriend at gunpoint to bring him to McAvan's Pub, where a birthday party with her relatives was taking place. The woman's brother attempted to separate her from her companion, at which point the man opened fire, injuring six people including his ex-girlfriend's brother.",2/1/15,
233,"King, North Carolina","King, North Carolina",US,3,0,3,"A Couple and their sons were found shot to death in their mobile home on Wednesday, February 4. 2015. All four family members were found shot in the head. The shooter shot his wife and two boys before killing himself.",2/4/15,
182,Monroeville Macy's,"Monroeville, Pennsylvania",US,0,3,3,"On the evening of Feb. 7, 2015, a teenager entered Macy's at the Monroeville Mall, approached a man and spoke briefly with him. Then he shot him and two bystanders. The shooter left the scene, but was arrested the next morning.",2/7/15,
186,Douglasville,"Douglasville, Georgia",US,4,2,6,"On February 7, 2015, a man entered the house of his ex-wife and shot her, two of their children, her boyfriend, and wounded two of her children. He then went onto the street and shot himself.",2/7/15,
183,Moon Lake,"New Port Richey, Florida",US,3,1,4,"Early morning on Feb. 9, 2015 two shooters with significant criminal records entered a house Moon Lake and shot the four residents of the house. Three of the victims were killed and the fourth was injured and escaped the house after the shooters left. The shooters escaped and were arrested a week later.",2/9/15,
181,Chapel Hill,"Chapel Hill, North Carolina",US,3,0,3,"On the evening of Feb. 10, 2015, a man entered the apartment of three Muslim students with whom he had an ongoing dispute about parking space. The man was a fellow resident of the apartment complex. He shot all three people in the head, killing them. ",2/10/15,
188,Clarkesville,"Clarkesville, Georgia",US,2,2,4,"On February 22, 2015, A former police officer fatally shot his ex-wife and her friend, then wounded a local sheriff and a deputy at his ex-wife's home on Sunday before he was killed by the return fire from law enforcement.",2/22/15,
189,Killeen,"Killeen, Texas",US,3,1,4,"On Sunday night of February 22, Fort Hood soldier opened fire on three people, killing two and injuring one before forcing his wife into another home, where he killed her and then himself. ",2/22/15,
190,Charlotte,"Charlotte, North Carolina",US,3,0,3,"On February 24, 2015, ""America's Next Top Model"" contestant was killed in a triple homicide at her boyfriend's home.",2/24/15,
184,Tyrone,"Tyrone, Missouri",US,7,1,8,"Late night on February 26, a man entered the home of two of his cousins and shot them. Their daughter escaped the home and called the police. The shooter proceeded to four other nearby residences, killing two more of his cousins and three other acquaintances. The shooter then drove to another county and killed himself in his car. The shooter's mother, who lived with the shooter, was found dead from lung cancer in her home.",2/26/15,
191,Birmingham's Washington Park,"Birmingham, Alabama",US,1,2,3,"On February 27, 2015, the online Facebook brawl between two groups of friends spilled out into the streets with a planned videotaped fight.  After the melee ensued, two teenage males pulled out guns and started shooting at the girls. The shots killed 14-year-old girl and wounded two others.",2/27/15,
192,Tarboro,"Tarboro, North Carolina",US,3,0,3,"On Saturday afternoon of February 28, 2015, one of the fatal shootings happened at the Master's Touch barber shop around 1 p.m. Another shooting  happened at a nearby mobile home park. A woman and man were shot in that encounter. Police later shot and killed the suspected gunman after they tracked down the suspect. ",2/28/15,
194,Brookhaven,"Brookhaven, Mississippi",US,2,3,5,"On early Friday morning of March 13, the man accused of shooting  the owners of a house, killing the two and critically injuring the other three. The man rented a room in the house. The man and the house owner had argued about something, and the man pulled out a gun and started shooting. He was found dead on Saturday, May 31, 2015 in his cell.",3/13/15,
195,Cottonwood,"Cottonwood, Alabama",US,2,1,3,"On Sunday night of March 15, the man broke into a house and killed two people including his wife and shot another person before turning the gun on himself.",3/15/15,
196,Mesa,"Mesa, Arizona",US,1,5,6,"On March 18, 2015, the shootings started with an argument inside a motel room that spilled outside, one man dead and two women wounded. The gunman then shot another man who was working at a nearby restaurant. The gunman got away from the restaurant by carjacking the school instructor's car. The man then went to an apartment complex about 2 miles away, and shot another man. Another man was found in a neighboring apartment building with multiple gunshot wounds.",3/18/15,
197,Little Water,"Little Water, New Mexico",US,1,2,3,"On March 19, 2015, police officer was shot and killed after responding to a domestic violence situation. The shooter was holding his family hostage and allegedly pistol-whipped his wife and mother. The suspect led police on a 40-mile chase from New Mexico to Arizona before he was shot and killed.",3/19/15,
198,Panama City Beach,"Panama City Beach, Florida",US,0,7,7,"On March 28, 2015, seven people were wounded, several critically, in a shooting at a Spring Break house party early Saturday. The shooter was arrested after the shooting.",3/28/15,
199,Tulsa,"Tulsa, Oklahoma",US,3,0,3,"On March 30, 2015, police discovered four bodies of a family, including two young boys, inside a home in Tulsa, Oklahoma on Wednesday in what appeared to be a murder-suicide. Officers discovered the bodies Wednesday afternoon as they conducted a welfare check requested by the mother’s employer who was concerned after the woman failed to show up for work or call in sick for two days. A handgun was found near the father’s body. ",3/30/15,
200,Daytona Beach,"Daytona Beach, Florida",US,0,4,4,"On April 3, 2015, four people were shot early Friday morning at a house party near Bethune-Cookman University in Daytona Beach. Four Bethune-Cookman University students were shot after the alleged gunman was kicked out of a house party about four blocks from the campus in Daytona Beach. The escaped suspect surrendered on April 6, 2015.",4/3/15,
201,Indianapolis,"Indianapolis, Indiana",US,0,5,5,"On Sunday  evening of April 5, three suspects entered the apartment, fired multiple shots, and then fled the scene. Five people were injured, three of them were children. One of three suspects was arrested.",4/5/15,
202,Rome,"Rome, Georgia",US,1,3,4,"On April 7, 2015, the man entered 20 Copeland St. about 11:10 p.m. Tuesday and demanded cash from one of victim. The man then fired a handgun at the victim, killing him. Police said at least two men intended to rob people at the Copeland Street home.",4/7/15,
203,Phoenix,"Phoenix, Arizona",US,4,0,4,"On April 16, 2015, a man who had been in a business dispute with his two brothers shot and killed them with his mother and one of their wives before taking his own life.",4/16/15,
204,Killeen,"Killeen, Texas",US,2,3,5,"On April 21, 2015, the man fatally shot two women and wounded three others at the Village West Apartments. ",4/21/15,
205,Gates Pub ,"Gates, New York",US,1,6,7,"On early Saturday morning of April 25, the man opened fire inside the Gates Pub. Seven people were shot, one of them was killed.",4/25/15,
207,Milwaukee,"Milwaukee, Wisconsin",US,2,3,5,"On May 1, 2015, a suspect shot five people during an altercation in the street that stemmed from a family dispute shortly before 1 a.m. Five people were shot, two people from the same family were killed during a fight early Friday morning. ",5/1/15,
208,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,"Menasha, Wisconsin",US,3,1,4,"On May 3, 2015, an argument with his ex-fiancée likely motivated a university student to randomly shoot four people  on a bridge at a park Sunday night, three fatally. Then  the gunman also shot and killed himself.",5/3/15,
218,Annual motorcycle event in Newark ,"Newark, New Jersey",US,1,3,4,"The shooting occurred during an annual event marking the opening of the motorcycle season. More than 2,000 people were in attendance when gunfire erupted at South 16th Street and 19th Avenue just before 8 p.m. Sunday. High school football star Al-Shakeem Woodson was shot and killed and three other people were wounded in the shooting.
The shooting was a result of a long-running feud between two other against the shooter and the 16-year-old.",5/10/15,
210,Tucson,"Tucson, Arizona",US,4,0,4,"On May 12, 2015, the man gunned down four of his family members, including his 17-year-old niece, before fatally shooting himself in a murder-suicide.",5/12/15,
211,Club Maxey's,"Decatur, Illinois",US,1,4,5,"On May 25, 2015, the shooter was attending a rap concert at a venue called Club Maxey Monday when he and the victim got into an altercation.  The four other people were wounded.",5/25/15,
212,Cleveland,"Cleveland, Ohio",US,2,1,3,"On May 31, 2015, the shooter entered his ex-girlfriend's home and found his ex-girlfriend and her grandfather upstairs, shooting and killing both. He then took his own life.",5/31/15,
213,Conyers,"Conyers, Georgia",US,2,2,4,"On May 31, 2015, the shooter entered the business just before 5 pm and open fire. He appeared to randomly shoot at anyone in his path but turns and leaves the building when an armed citizen off-camera returns fire. After the shooter left the liquor store, he  returned to his parents' home and shot and wounded them both. ",5/31/15,
214,Deer Lodge,"Deer Lodge, Montana",US,4,0,4,"The man shot and killed his wife and three children, set a fire in the family's remote cabin and then killed himself.",6/7/15,
219,Miami Gardens,"Miami Gardens, Florida",US,0,4,4,"The shooter opened fire when fight broke out during birthday party around 5:30 p.m. The man pulled out a gun and opened fire, hitting four people.",6/16/15,
215,Mother Emanuel AME Church,"Charleston, South Carolina",US,9,0,9,"Nine people – three men and six women including the church's pastor – were shot and killed during a prayer meeting at a church in Charleston, South Carolina.",6/17/15,
216,Boom Boom Room,"Morven, North Carolina",US,0,4,4,"Two men were arguing in a club called the Boom Boom Room Saturday morning around 2:45. When they started shooting at each other, four bystanders were caught in the crossfire. One of shooters was arrested later, and the other turned himself in on Tuesday, June 23, 2015.",6/20/15,
221,River Forest,"River Forest, Illinois",US,1,3,4,Two people including the shoter are dead and three others were wounded following what began as a domestic violence incident in River Forest on Sunday morning. Two police officers were among those wounded by gunfire in the incident.,7/12/15,
222,"Amnicola Training Center, Chattanooga","Chattanooga, Tennessee",US,4,3,7,"Four Marines were shot dead Thursday after a gunman brazenly opened fire on two  military facilities in Chattanooga, Tennessee. The shooter was also killed and three people including a police officer were injured.",7/16/15,
223,Suwanee,"Suwanee, Georgia",US,3,1,4,A gunman killed his wife and her two young children inside a suburban Georgia home early Wednesday before fatally shooting himself.,7/22/15,
224,"Grand 16 Theatre, Louisiana","Lafayette, Louisiana",US,2,9,11,"On July 23, 2015, a shooting occurred at The Grand 16 Theater movie theater in Lafayette, Louisiana. The shooter opened fire during a showing of the film Trainwreck, killing two people and injuring nine others before he committed suicide.",7/23/15,
225,"Houston, Texas","Houston, Texas",US,8,0,8,A family of six children and two parents were handcuffed and fatally shot in the head at a Houston home by a man with a violent criminal history who had previously been in a relationship with the mother and had a dispute with her.,8/8/15,
226,Parking lot near Boys and Girls Club,"Rochester, New York",US,3,4,7,"Around 11:20 p.m. Wednesday on Genesee Street, a gunman shot into a crowd that gathered outside the Rochester Boys and Girls Club after a basketball game, killing three people and wounding four others. 
Drive-by, Gang involvement",8/19/15,
227,Virginia WDBJ live TV interview shooting,"Roanoke, Virginia",US,2,1,3,"Wednesday morning on August 26, 2015, a former employee of a Virginia TV news station waited until two of his former colleagues were live on air presenting a local tourism story at an outdoor shopping mall, then filmed himself raising a gun and shooting them both dead. A third victim survived the attack. He uploaded the videos to Twitter before committing suicide. 
",8/26/15,
228,"Bristol, Tennessee","Bristol, Tennessee",US,3,1,4,"The shooter shot and killed his mother, stepfather, and grandmother in a matter of seconds on Saturday night.",8/29/15,
229,"Clearbrook (Greenwood), Minnesota","Clearbrook (Greenwood), Minnesota",US,4,0,4,"Five family members - two adults and three children - were found dead in a home on Thursday, September 10 in an apparent murder-suicide. The shooter, a nurse, founded the website AllNurses.com, which provides information and resources for and about the nursing profession.",9/10/15,
230,"Platte, South Dakota","Platte, South Dakota",US,5,0,5,"The six members of a South Dakota family found dead in the ruins of their burned home were fatally shot, with one death believed to be a suicide. All six members of the shooter's family died of shotgun wounds.",9/17/15,
234,Hill Haven Event Center (Formerly Club CJ's),"Greenville, Georgia",US,0,10,10,A shooting at a club in Meriwether Co. early Sunday injured 10 people after witnesses say gun fire was exchanged that stemmed from alleged illegal gambling.,9/27/15,
231,Umpqua Community College,"Roseburg, Oregon",US,9,7,16,"On Monday of October 1, 2015, a gunman opened fire at a rural Oregon community college Thursday. 9 people were dead and seven wounded, three critically, before dying in a shootout with police. First, a shot came through the window and hit the teacher in the head  in a freshman writing class. The gunman then entered the Snyder Hall classroom and told people to get on the floor. He told people to stand up and state their religion before opening fire.",10/1/15,
238,"Inglis, Florida","Inglis, Florida",US,2,1,3,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.",10/1/15,
232,Northern Arizona University at Flagstaff Campus,"Flagstaff, Arizona",US,1,3,4,"On Friday of October 9, 2015, one person is dead and three are wounded after an early morning shooting on Northern Arizona University's campus. An overnight confrontation between two groups of students escalated into gunfire. The shooter is a freshman of Northern Arizona University.",10/9/15,
235,"Colerain Township, Ohio","Colerain Township, Ohio",US,2,1,3,"A man killed his two teenage sisters and injured another teen in Colerain Township, Ohio, in the early hours of Tuesday, Oct. 21, 2015.",10/21/15,
236,Colorado Springs,"Colorado Springs, Colorado",US,3,0,3,"In the morning of October 31, 2015, three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman died in a shootout with police. A witness described he was walking in the street with two guns, walking calmly. The shooter killed a bicyclist and two women at a nearby location.",10/31/15,
237,"Oakland, Maine","Oakland, Maine",US,3,0,3,"A gunman shot his girlfriend,  his girfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.",11/4/15,
239,"Waycross, GA","Waycross, Georgia",US,1,2,3,"On Saturday of November 7, 2015,a pregnant mother of two was killed in a violent rampage early Saturday along with her unborn child. Both of her toddlers were also shot. The shooter is the father of one of the small children.",11/7/15,
240,"Jacksonville, Florida","Jacksonville, Florida",US,3,1,4,"On Friday of Novemer 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.",11/13/15,
241,"Tennessee Colony, Texas","Tennessee Colony, Texas",US,6,0,6,"On Sunday of November 15, 2015, six people are dead after a weekend homicide at a private campsite. The bodies of a man and woman were found in a travel trailer. The bodies of four males, who were initially considered missing, were later recovered about 1:15 p.m. Monday in a pond on the suspect's residence. ",11/15/15,
242,"Columbus, Ohio","Columbus, Ohio",US,3,1,4,"On Monday of November 23, 2015, three of four members of a family were shot and killed and a 12-year-old girl wounded at their home. The suspect died after being shot by police. The shooter was a once friendly neighbor of the victims.",11/23/15,
243,"Minneapolis, Minnesota","Minneapolis, Minnesota",US,0,5,5,"Five protesters were shot late Monday night near the Black Lives Matter encampment. A group of white supremacists showed up at the protest, and when about a dozen protesters attempted to herd the group away from the area, they opened fire on the protesters. Protesters have been camping out in front of the 4th Precinct since Nov. 15",11/23/15,
244,"Colorado Springs, Colorado","Colorado Springs, Colorado",US,3,9,12,"On Friday of November 27, 2015, the shooter opened fire inside a Planned Parenthood clinic in Colorado Springs. Three people were killed and nine others were hurt. The shooter surrendered to officers after a five-hour ordeal Friday in which he fired randomly at people in the clinic and roamed the halls shooting through walls with an assault-style rifle.",11/27/15,
245,"San Bernardino, California","San Bernardino, California",US,14,21,35,"On Wednesday of December 2, 2015, two gunmen entered a conference room on the Inland Regional Center property, killing 14 people, and injuring 21 people. The facility was rented by the San Bernardino County Department of Public Health for a holiday party. The shooter was at the party but left abruptly before the shooting. He seemed angry, witnesses told police. He returned and along with his wife, he went into the building and began firing. The man was an inspector with the county health department that hosted the party. ",12/2/15,
246,"Omaha, Nebraska","Omaha, Nebraska",US,2,3,5,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting.  The suspect turned himself into police on Tuesday morning.,12/6/15,
247,"Chesapeake, Virginia","Chesapeake, Virginia",US,5,0,5,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives — father, mother, sister, and an unidentified female.",1/27/16,
248,"Orlando, Florida","Orlando, Florida",US,2,10,12,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,2/7/16,
249,"Iuka, Mississippi","Iuka, Mississippi",US,1,3,4,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",2/20/16,
250,"Kalamazoo, Michigan","Kalamazoo, Michigan",US,6,2,8,"On Saturday evening of February 20, 2016, the gunman shot eight people in three different parts of the county. For nearly five hours Saturday, the shooter drove from one target to another, gunning down victims at random. And in between the shootings, he apparently picked up passengers for Uber.",2/20/16,
251,"Glendale, Arizona","Glendale, Arizona",US,4,0,4,"Five family members are dead after the son opened fire at their house on Tuesday morning. The shooter killed his father, his mother, his 18-year-old sister, and his 6-year-old sister. Police fatally shot the  shooter after a confrontation inside the home.",2/23/16,
252,"Hesston, Kansas","Hesston, Kansas",US,3,14,17,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",2/25/16,
253,"Belfair, Washington","Belfair, Washington",US,4,0,4,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",2/26/16,
254,"Woodbridge, Virginia","Woodbridge,  Virginia",US,2,2,4,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",2/27/16,
